exp_id,ano,mes
2,2020,08
1368,2020,08
1130,2020,08
402,2020,08
407,2020,08
1508,2020,08
1393,2020,08
2282,2020,08
1587,2020,08
1349,2020,08
831,2020,08
1271,2020,08
1424,2020,08
2002,2020,08
711,2020,08
1438,2020,08
1927,2020,08
237,2020,08
1238,2020,08
2375,2020,08
400,2020,08
2077,2020,08
437,2020,08
1190,2020,08
2294,2020,08
1799,2020,08
2005,2020,08
1459,2020,08
1089,2020,08
1660,2020,08
2302,2020,08
1331,2020,08
9,2020,08
2349,2020,08
1677,2020,08
2180,2020,08
1218,2020,08
274,2020,08
1918,2020,08
1265,2020,08
652,2020,08
936,2020,08
150,2020,08
1230,2020,08
1051,2020,08
2167,2020,08
1521,2020,08
1654,2020,08
1792,2020,08
641,2020,08
744,2020,08
762,2020,08
1070,2020,08
1711,2020,08
2199,2020,08
2281,2020,08
1866,2020,08
1697,2020,08
1014,2020,08
1182,2020,08
2112,2020,08
953,2020,08
1184,2020,08
1720,2020,08
1404,2020,08
726,2020,08
1055,2020,08
1626,2020,08
811,2020,08
2165,2020,08
1488,2020,08
723,2020,08
2218,2020,08
1045,2020,08
236,2020,08
1228,2020,08
1848,2020,08
445,2020,08
2108,2020,08
1816,2020,08
1344,2020,08
635,2020,08
2250,2020,08
2309,2020,08
1575,2020,08
2277,2020,08
1807,2020,08
1215,2020,08
2276,2020,08
2063,2020,08
459,2020,08
347,2020,08
248,2020,08
1174,2020,08
348,2020,08
669,2020,08
1116,2020,08
1298,2020,08
2406,2020,08
624,2020,08
103,2020,08
1818,2020,08
204,2020,08
97,2020,08
51,2020,08
1223,2020,08
2368,2020,08
2042,2020,08
2194,2020,08
1770,2020,08
503,2020,08
105,2020,08
1199,2020,08
2092,2020,08
1750,2020,08
2348,2020,08
1559,2020,08
802,2020,08
1241,2020,08
2236,2020,08
1080,2020,08
182,2020,08
572,2020,08
457,2020,08
383,2020,08
1257,2020,08
1746,2020,08
1686,2020,08
16,2020,08
2089,2020,08
2090,2020,08
1231,2020,08
2404,2020,08
133,2020,08
1343,2020,08
1993,2020,08
1374,2020,08
1377,2020,08
1290,2020,08
1504,2020,08
1036,2020,08
1454,2020,08
785,2020,08
1387,2020,08
595,2020,08
1951,2020,08
663,2020,08
547,2020,08
2148,2020,08
1971,2020,08
736,2020,08
260,2020,08
209,2020,08
381,2020,08
195,2020,08
